School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
CHANEY HIGH,Ohio,OHIO,Chaney High,3902063,Mahoning County,39099,†,731 S Hazelwood Ave,Youngstown,44509,731 S Hazelwood Ave,3307448822,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.092600,-80.696300,OH-045161-005850,High,1-Yes,1-Yes,1-Yes,1-Yes,536,536,137,163,124,112,306,230,32.00,16.75
CHANHASSEN HIGH SCHOOL,Minnesota,MINNESOTA,CHANHASSEN HIGH SCHOOL,2704260,Carver County,27019,http://cns.district112.org,2200 LYMAN BLVD,CHANHASSEN,55317,2200 LYMAN BLVD,9525563500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.844614,-93.574409,MN-010112-010112064,High,1-Yes,1-Yes,1-Yes,1-Yes,1385,1385,347,321,364,353,699,686,64.69,21.41
CHANNEL ISLANDS HIGH,California,CALIFORNIA,Channel Islands High,0604517,Ventura County,06111,http://www.channelislandshigh.us,1400 Raiders Way,Oxnard,93033,1400 Raiders Way,8053852787,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.170200,-119.162000,CA-5672546-5631742,High,1-Yes,1-Yes,1-Yes,1-Yes,2380,2380,620,538,594,628,1190,1189,94.64,25.15
CHANNEL VIEW SCHOOL FOR RESEARCH,New York,NEW YORK,CHANNEL VIEW SCHOOL FOR RESEARCH,3605731,Queens County,36081,http://www.cvsr.info,100-00 BEACH CHANNEL DR,ROCKAWAY PARK,11694,100-00 BEACH CHANNEL DR,7186341970,1-Regular school,2-Local school district that is a component of a supervisory union,40.586607,-73.823461,NY-342700010000-342700011262,High,1-Yes,1-Yes,1-Yes,1-Yes,1180,847,209,225,212,201,643,537,101.39,11.64
CHANNELVIEW H S,Texas,TEXAS,CHANNELVIEW H S,4800851,Harris County,48201,http://www.cvisd.org,1100 SHELDON RD,CHANNELVIEW,77530,1100 SHELDON RD,2814577300,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,29.795260,-95.122106,TX-101905-101905001,High,1-Yes,1-Yes,1-Yes,1-Yes,2917,2917,818,752,721,626,1542,1375,167.14,17.45
CHANNING SCHOOL,Texas,TEXAS,CHANNING SCHOOL,4800857,Hartley County,48205,†,900 GREENWOOD AVE,CHANNING,79018,P O BOX 9,8062353432,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.682913,-102.336842,TX-103901-103901001,Other,1-Yes,1-Yes,1-Yes,1-Yes,121,25,6,9,6,4,49,72,15.46,7.83
CHANTILLY HIGH,Virginia,VIRGINIA,Chantilly High,5100059,Fairfax County,51059,†,4201 Stringfellow Rd,Chantilly,20151,4201 Stringfellow Rd,7032228100,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.880284,-77.406580,VA-029-0290131,High,1-Yes,1-Yes,1-Yes,1-Yes,2937,2937,635,756,781,765,1559,1378,228.88,12.83
CHANUTE HIGH,Kansas,KANSAS,Chanute High,2000973,Neosho County,20133,http://www.usd413.org,1501 West 36th Street,Chanute,66720,1501 West 36th Street,6204322510,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.643754,-95.473233,KS-D0413-5882,High,1-Yes,1-Yes,1-Yes,1-Yes,528,527,129,136,133,129,263,265,40.05,13.18
CHAP CENTER,Nebraska,NEBRASKA,CHAP CENTER,3101507,Sarpy County,31153,†,1201 GREGG RD,BELLEVUE,68005,1201 GREGG RD,4022934930,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,41.159223,-95.909973,NE-770001000-770001016,Other,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,3.92,0.00
CHAPARRAL H S,TEXAS,TEXAS,CHAPARRAL H S,4813777,Bell County,48027,http://www.killeenisd.org,4400 CHAPARRAL RD,KILLEEN,76542,4400 CHAPARRAL RD,2543362447,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.034248,-97.714175,TX-014906-014906015,High,1-Yes,1-Yes,1-Yes,1-Yes,2031,2031,510,508,588,425,1074,957,114.43,17.75
CHAPARRAL HIGH,California,CALIFORNIA,Chaparral High,0602017,San Diego County,06073,http://chaparral.guhsd.net/,1600 North Cuyamaca St.,El Cajon,92020,1600 North Cuyamaca St.,6199564600,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,32.817466,-116.980745,CA-3768130-3732559,High,1-Yes,1-Yes,1-Yes,1-Yes,45,45,0,15,16,14,35,10,6.23,7.22
CHAPARRAL HIGH,New Mexico,NEW MEXICO,CHAPARRAL HIGH,3500935,Doña Ana County,35013,http://chs.gisd.k12.nm.us,800 COUNTY LINE DR,ANTHONY,88021,800 COUNTY LINE DR,5758826203,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.043823,-106.383255,NM-35019000-35019003,High,1-Yes,1-Yes,1-Yes,1-Yes,1067,1067,257,306,265,239,595,472,69.70,15.31
CHAPARRAL HIGH,California,CALIFORNIA,Chaparral High,0607222,Riverside County,06065,†,27215 Nicolas Rd.,Temecula,92591,27215 Nicolas Rd.,9516954200,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.538400,-117.147500,CA-3375192-3330743,High,1-Yes,1-Yes,1-Yes,1-Yes,3136,3136,776,803,783,774,1627,1509,119.35,26.28
CHAPARRAL HIGH,California,CALIFORNIA,Chaparral High,0607874,San Bernardino County,06071,http://www.snowlineschools.com,9258 Malpaso Rd.,Phelan,92329,PO Box 296000,7608685400,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.417788,-117.577601,CA-3673957-3630365,High,1-Yes,1-Yes,1-Yes,1-Yes,130,130,0,0,41,89,83,45,9.16,14.19
CHAPARRAL HIGH (CONTINUATION),California,CALIFORNIA,Chaparral High (Continuation),0600506,Los Angeles County,06037,†,121 West Allen Ave.,San Dimas,91773,115 West Allen Ave.,9099718240,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,34.117779,-117.808810,CA-1964329-1937598,High,1-Yes,1-Yes,1-Yes,1-Yes,54,54,0,0,26,28,29,25,10.61,5.09
CHAPARRAL HIGH SCHOOL,Colorado,COLORADO,Chaparral High School,0801578,Douglas County,08035,†,15655 BROOKSTONE DRIVE,PARKER,80138,15655 BROOKSTONE DRIVE,3033873500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.540700,-104.808300,CO-0900-1503,High,1-Yes,1-Yes,1-Yes,1-Yes,2007,2007,529,541,458,479,1028,979,93.44,21.48
CHAPARRAL HIGH SCHOOL,Arizona,ARIZONA,Chaparral High School,0400641,Maricopa County,04013,http://www.susd.org/chaparral,6935 E GOLD DUST AVE,SCOTTSDALE,85253,6935 E GOLD DUST AVE,4804846500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.577500,-111.931700,AZ-4240-5069,High,1-Yes,1-Yes,1-Yes,1-Yes,1773,1773,378,444,458,493,885,888,83.20,21.31
CHAPARRAL HS,Nevada,NEVADA,Chaparral HS,3200018,Clark County,32003,†,3850 Annie Oakley Dr,Las Vegas,89121,3850 Annie Oakley Dr,7027997580,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.119976,-115.087715,NV-02-02409,High,1-Yes,1-Yes,1-Yes,1-Yes,2295,2278,506,621,590,561,1274,1021,92.00,24.95
CHAPARRAL JR/SR HIGH,Kansas,KANSAS,Chaparral Jr/Sr High,2000749,Harper County,20077,http://www.usd361.org,467 KS-2,Anthony,67003,467 KS-2,6208425155,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.218744,-98.041181,KS-D0361-4442,High,1-Yes,1-Yes,1-Yes,1-Yes,348,227,58,49,54,66,185,163,29.91,11.63
CHAPARRAL STAR ACADEMY,Texas,TEXAS,CHAPARRAL STAR ACADEMY,4808059,Travis County,48453,http://www.chaparralstaracademy.com,14046 SUMMIT DR,AUSTIN,78728,14046 SUMMIT DR,5129892672,1-Regular school,7-Independent Charter District,30.437980,-97.691775,TX-227814-227814001,Other,1-Yes,1-Yes,1-Yes,1-Yes,364,112,36,28,29,19,176,188,25.10,14.50
CHAPARRAL VIRTUAL SCHOOL,KANSAS,KANSAS,Chaparral Virtual School,2002144,Harper County,20077,http://www.usd361.org,467 N State Rd 14,Anthony,67003,467 N State Rd 14,6208425155,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.218744,-98.041181,KS-D0361-4441,High,1-Yes,1-Yes,1-Yes,1-Yes,16,10,1,2,4,3,5,11,–,–
CHAPEL HILL H S,Texas,TEXAS,CHAPEL HILL H S,4807126,Titus County,48449,http://chisddevils.com,1069 CR 4660,MOUNT PLEASANT,75455,1069 CR 4660,9035721086,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.111773,-94.885608,TX-225906-225906001,High,1-Yes,1-Yes,1-Yes,1-Yes,294,294,71,76,76,71,142,152,32.92,8.93
CHAPEL HILL H S,Texas,TEXAS,CHAPEL HILL H S,4800859,Smith County,48423,http://www.chapelhillisd.org,13172 STATE HWY 64 E,TYLER,75707,13172 STATE HWY 64 E,9035662311,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.309562,-95.189606,TX-212909-212909001,High,1-Yes,1-Yes,1-Yes,1-Yes,990,990,258,253,234,245,519,471,76.86,12.88
CHAPEL HILL HIGH,North Carolina,NORTH CAROLINA,Chapel Hill High,3700295,Orange County,37135,http://chccs.org/chhs,9217 Seawell School Rd,Chapel Hill,27516,9217 Seawell School Rd,9199292106,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.946531,-79.080171,NC-681-308,High,1-Yes,1-Yes,1-Yes,1-Yes,1608,1608,403,437,377,391,802,806,100.99,15.92
CHAPEL HILL HIGH SCHOOL,Georgia,GEORGIA,Chapel Hill High School,1302317,Douglas County,13097,†,4899 Chapel Hill Rd,Douglasville,30135,4899 Chapel Hill Rd,7706516200,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.673100,-84.721900,GA-648-0100,High,1-Yes,1-Yes,1-Yes,1-Yes,1646,1646,398,426,410,412,836,810,87.70,18.77
CHAPIN H S,Texas,TEXAS,CHAPIN H S,4808776,El Paso County,48141,http://chapin.episd.org,7000 DYER ST,EL PASO,79904,7000 DYER ST,9152364400,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.842919,-106.442756,TX-071902-071902012,High,1-Yes,1-Yes,1-Yes,1-Yes,1766,1766,505,466,431,364,966,800,96.43,18.31
CHAPIN HIGH,South Carolina,SOUTH CAROLINA,Chapin High,4501170,Lexington County,45063,†,300 Columbia Avenue,Chapin,29036,300 Columbia Avenue,8035755400,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.167109,-81.339914,SC-3205-038,High,1-Yes,1-Yes,1-Yes,1-Yes,1617,1617,427,378,409,403,799,818,99.17,16.31
CHAPMAN HIGH,Kansas,KANSAS,Chapman High,2001249,Dickinson County,20041,http://www.chapmanirish.net,400 W 4th,Chapman,67431,P O Box 249,7859226561,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.970900,-97.024900,KS-D0473-7542,High,1-Yes,1-Yes,1-Yes,1-Yes,383,382,114,82,104,82,201,182,27.83,13.76
CHAPMAN HIGH,South Carolina,SOUTH CAROLINA,Chapman High,4500988,Spartanburg County,45083,†,1420 Compton Bridge Road,Inman,29349,1420 Compton Bridge Road,8644722836,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.062634,-82.100305,SC-4201-002,High,1-Yes,1-Yes,1-Yes,1-Yes,1057,1057,277,265,236,279,558,499,65.00,16.26
CHAPMAN VOCATIONAL EDUCATION CENTER,Kentucky,KENTUCKY,Chapman Vocational Education Center,2102338,Kenton County,21117,†,25th and Madison Streets,Covington,41014,25th and Madison Streets,8592915911,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,39.061170,-84.501726,KY-059134000-059134906,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
CHAPMANVILLE REGIONAL HIGH SCHOOL,West Virginia,WEST VIRGINIA,Chapmanville Regional High School,5400508,Logan County,54045,http://crhs.logancountyschoolswv.com/,506 Crawley Creek Rd,Chapmanville,25508,506 Crawley Creek Rd,3048554522,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.977344,-82.026622,WV-4500000-45501,High,1-Yes,1-Yes,1-Yes,1-Yes,645,645,175,143,158,169,346,299,41.50,15.54
CHAPUTNGUAK SCHOOL,Alaska,ALASKA,Chaputnguak School,0200209,Bethel Census Area,02050,http://chefornak.lksd.org/,102 Village Rd,Chefornak,99561,PO Box 50,9078678700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,60.157612,-164.282245,AK-31-310080,Other,1-Yes,1-Yes,1-Yes,1-Yes,133,39,10,10,11,8,62,71,9.00,14.78
CHAR ENG EARLY COLLEGE-UNCC,North Carolina,NORTH CAROLINA,Char Eng Early College-UNCC,3703315,Mecklenburg County,37119,http://www.cmsk12.org/ceecHS,9000 Robert Snyder Rd,Charlotte,28262,9000 Robert Snyder Rd,9803439898,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.308908,-80.744073,NC-600-567,High,1-Yes,1-Yes,1-Yes,1-Yes,313,281,75,75,60,71,213,100,16.00,19.56
CHARDON HIGH SCHOOL,Ohio,OHIO,Chardon High School,3902789,Geauga County,39055,†,151 Chardon Ave,Chardon,44024,151 Chardon Ave,4402854057,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.591200,-81.200600,OH-047183-005876,High,1-Yes,1-Yes,1-Yes,1-Yes,1054,867,200,206,230,231,569,485,48.67,21.66
CHAREM ALTERNATIVE SCHOOLS,Michigan,MICHIGAN,CharEm Alternative Schools,2607895,Emmet County,26047,†,443 BAY ST,PETOSKEY,49770,8568 MERCER RD,2315479947,4-Alternative Education School,9-Specialized public school district,45.376166,-84.953138,MI-15000-09927,High,1-Yes,1-Yes,1-Yes,1-Yes,22,22,2,5,6,9,12,10,1.00,22.00
CHAREM SPECIAL EDUCATION SCHOOLS,Michigan,MICHIGAN,CharEm Special Education Schools,2600811,Charlevoix County,26029,http://www.charemisd.org,8568 MERCER RD,CHARLEVOIX,49720,8568 MERCER RD,2315479947,2-Special education school,9-Specialized public school district,45.330038,-85.239771,MI-15000-07052,Other,1-Yes,1-Yes,1-Yes,1-Yes,99,31,6,8,9,8,78,21,24.80,3.99
CHARETTE CHARTER SCHOOL,RHODE ISLAND,RHODE ISLAND,Charette Charter School,4400519,Providence County,44007,†,335 Westminster St.,Providence,02903,335 Westminster St.,4012701183,1-Regular school,7-Independent Charter District,41.821906,-71.414465,RI-81-81601,High,1-Yes,1-Yes,1-Yes,1-Yes,168,168,46,42,37,43,87,81,10.00,16.80
CHARIHO ALTERNATIVE LEARNING A,Rhode Island,RHODE ISLAND,Chariho Alternative Learning A,4400286,Washington County,44009,†,455C Switch Road,Wood River Junction,02894,455C Switch Road,4013152880,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,41.450116,-71.697650,RI-98-98108,Other,1-Yes,1-Yes,1-Yes,1-Yes,71,42,6,7,15,14,55,16,10.00,7.10
CHARIHO CAREER AND TECH CENTER,Rhode Island,RHODE ISLAND,Chariho Career and Tech Center,4400457,Washington County,44009,†,459 Switch Road,Wood River Junction,02894,459 Switch Road,4013646869,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,41.448312,-71.695882,RI-98-98102,High,1-Yes,1-Yes,1-Yes,1-Yes,†,†,†,†,†,†,†,†,16.00,–
CHARIHO HIGH SCHOOL,Rhode Island,RHODE ISLAND,Chariho High School,4400029,Washington County,44009,†,453 Switch Road,Wood River Junction,02894,453 Switch Road,4013647778,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.450085,-71.696450,RI-98-98101,High,1-Yes,1-Yes,1-Yes,1-Yes,991,991,255,271,245,220,509,482,78.00,12.71
CHARITON HIGH SCHOOL,Iowa,IOWA,Chariton High School,1900313,Lucas County,19117,http://www.charitonschools.org,501 N Grand,Chariton,50049,501 N Grand,6417745066,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.019955,-93.307969,IA-591107 000-591107 109,High,1-Yes,1-Yes,1-Yes,1-Yes,372,372,92,88,92,100,204,168,28.49,13.06
CHARLEROI AREA HS,Pennsylvania,PENNSYLVANIA,Charleroi Area HS,4204715,Washington County,42125,†,100 Fecsen Dr,Charleroi,15022,100 Fecsen Dr,7244833600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.158000,-79.918700,PA-101631803-4715,High,1-Yes,1-Yes,1-Yes,1-Yes,450,450,117,125,110,98,229,221,28.40,15.85
CHARLES A TINDLEY ACCELERATED SCH,Indiana,INDIANA,Charles A Tindley Accelerated Sch,1802137,Marion County,18097,†,3960 Meadows Dr,Indianapolis,46205,3960 Meadows Dr,3175451745,1-Regular school,7-Independent Charter District,39.829805,-86.114481,IN-9445-6208,High,1-Yes,1-Yes,1-Yes,1-Yes,309,178,54,58,37,29,167,142,24.00,12.88
CHARLES B AYCOCK HIGH,North Carolina,NORTH CAROLINA,Charles B Aycock High,3701948,Wayne County,37191,http://www.waynecountyschools.org/,5460 US 117 North,Pikeville,27863,PO Box 159,9192423400,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.509100,-77.980100,NC-960-324,High,1-Yes,1-Yes,1-Yes,1-Yes,1138,1138,326,285,276,251,601,537,42.83,26.57
CHARLES CITY COUNTY HIGH,Virginia,VIRGINIA,Charles City County High,5100258,Charles City County,51036,http://www.ccps.net,10039 Courthouse Rd,Charles City,23030,10039 Courthouse Rd,8048299249,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.351641,-77.076292,VA-019-0190100,High,1-Yes,1-Yes,1-Yes,1-Yes,221,154,57,40,30,27,114,107,35.00,6.31
CHARLES CITY HIGH SCHOOL,Iowa,IOWA,Charles City High School,1900319,Floyd County,19067,http://www.charles-city.k12.ia.us/high/index.html,1 Comet Dr,Charles City,50616,1 Comet Dr,6412576510,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.061840,-92.657191,IA-341116 000-341116 109,High,1-Yes,1-Yes,1-Yes,1-Yes,472,472,95,121,119,137,227,245,30.66,15.39
CHARLES D'AMICO HIGH SCHOOL,New York,NEW YORK,CHARLES D'AMICO HIGH SCHOOL,3600033,Orleans County,36073,http://www.albionk12.org,302 EAST AVE,ALBION,14411,302 EAST AVE,5855892040,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.239724,-78.183802,NY-450101060000-450101060003,High,1-Yes,1-Yes,1-Yes,1-Yes,499,491,126,129,114,122,254,245,40.10,12.44
CHARLES DREW CHARTER JA/SR ACADEMY,GEORGIA,GEORGIA,Charles Drew Charter JA/SR Academy,1304161,DeKalb County,13089,†,300 E Lake Blvd SE,Atlanta,30317,300 E Lake Blvd SE,4046870001,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.746500,-84.311300,GA-761-0515,High,1-Yes,1-Yes,1-Yes,1-Yes,941,481,135,128,108,110,472,469,88.10,10.68
CHARLES E. SHEA HIGH SCHOOL,Rhode Island,RHODE ISLAND,Charles E. Shea High School,4400201,Providence County,44007,†,485 East Avenue,Pawtucket,02860,485 East Avenue,4017296445,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.865226,-71.388072,RI-26-26118,High,1-Yes,1-Yes,1-Yes,1-Yes,770,770,150,177,181,262,420,318,58.00,13.28
CHARLES F FERNANDEZ CENTER ALT LEARNING,Wisconsin,WISCONSIN,Charles F Fernandez Center Alt Learning,5501116,Portage County,55097,http://www.pointschools.net,1900 W Zinda Dr,Stevens Point,54481,1900 W Zinda Dr,7153455592,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,44.512933,-89.598482,WI-5607-0310,High,1-Yes,1-Yes,1-Yes,1-Yes,77,77,0,0,10,67,50,26,5.40,14.26
CHARLES FRANCIS ADAMS HIGH SCHOOL,Washington,WASHINGTON,Charles Francis Adams High School,5300234,Asotin County,53003,http://clarkston.schoolwires.net/chs/site/default.asp,401 Chestnut St,Clarkston,99403,401 Chestnut St,5097585591,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,46.410500,-117.042900,WA-02250-2299,High,1-Yes,1-Yes,1-Yes,1-Yes,670,670,180,143,187,160,321,349,33.00,20.30
CHARLES HENDERSON HIGH SCHOOL,Alabama,ALABAMA,Charles Henderson High School,0101602,Pike County,01109,http://www.troyschools.net,150 George Wallace Dr,Troy,36081,PO Box 1006,3345663510,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.802093,-85.947971,AL-199-0010,High,1-Yes,1-Yes,1-Yes,1-Yes,546,546,135,147,119,145,274,272,30.00,18.20
CHARLES HERBERT FLOWERS HIGH,Maryland,MARYLAND,Charles Herbert Flowers High,2402951,Prince George's County,24033,http://www.pgcps.org/charleshflowers/,10001 Ardwick-Ardmore Rd,Springdale,20774,10001 Ardwick-Ardmore Rd,3016368000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.931500,-76.835000,MD-16-161327,High,1-Yes,1-Yes,1-Yes,1-Yes,2712,2712,758,735,638,581,1318,1394,137.00,19.80
CHARLES J. COLGAN SR. HIGH,VIRGINIA,VIRGINIA,Charles J. Colgan Sr. High,5103025,Prince William County,51153,http://colganhs.pwcs.edu/,13833 Dumfries Rd,Manassas,20112,13833 Dumfries Rd,5713746550,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.653870,-77.437937,VA-075-0755010,High,1-Yes,1-Yes,1-Yes,1-Yes,2956,2938,765,763,703,707,1333,1623,170.20,17.37
CHARLES L BOWERS FARM,Michigan,MICHIGAN,Charles L Bowers Farm,2607840,Oakland County,26125,†,1219 E SQUARE LAKE RD,BLOOMFIELD HILLS,48304,1219 E SQUARE LAKE RD,2486416475,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,42.605302,-83.217396,MI-63080-09945,Other,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,3.00,0.00
